"activity" "subject" "variable" "mean"
"Laying" 1 "bodyAccXMean" 0.22159824394
"Laying" 1 "bodyAccYMean" -0.0405139534294
"Laying" 1 "bodyAccZMean" -0.11320355358
"Laying" 1 "bodyAccXStd" -0.9280564692
"Laying" 1 "bodyAccYStd" -0.83682740562
"Laying" 1 "bodyAccZStd" -0.826061401628
"Laying" 1 "gravityAccXMean" -0.24888179828
"Laying" 1 "gravityAccYMean" 0.70554977346
"Laying" 1 "gravityAccZMean" 0.4458177198
"Laying" 1 "gravityAccXStd" -0.8968300184
"Laying" 1 "gravityAccYStd" -0.90772000676
"Laying" 1 "gravityAccZStd" -0.85236629022
"Laying" 1 "bodyAccJerkXMean" 0.0810865342
"Laying" 1 "bodyAccJerkYMean" 0.0038382040088
"Laying" 1 "bodyAccJerkZMean" 0.010834236361
"Laying" 1 "bodyAccJerkXStd" -0.958482112
"Laying" 1 "bodyAccJerkYStd" -0.9241492736
"Laying" 1 "bodyAccJerkZStd" -0.9548551108
"Laying" 1 "bodyGyroXMean" -0.016553093978
"Laying" 1 "bodyGyroYMean" -0.064486124088
"Laying" 1 "bodyGyroZMean" 0.14868943626
"Laying" 1 "bodyGyroXStd" -0.87354386782
"Laying" 1 "bodyGyroYStd" -0.9510904402
"Laying" 1 "bodyGyroZStd" -0.9082846626
"Laying" 1 "bodyGyroJerkXMean" -0.107270949192
"Laying" 1 "bodyGyroJerkYMean" -0.04151728689
"Laying" 1 "bodyGyroJerkZMean" -0.0740501211
"Laying" 1 "bodyGyroJerkXStd" -0.9186085208
"Laying" 1 "bodyGyroJerkYStd" -0.9679072436
"Laying" 1 "bodyGyroJerkZStd" -0.9577901596
"Laying" 1 "bodyAccMagMean" -0.8419291525
"Laying" 1 "bodyAccMagStd" -0.79514486386
"Laying" 1 "gravityAccMagMean" -0.8419291525
"Laying" 1 "gravityAccMagStd" -0.79514486386
"Laying" 1 "bodyAccJerkMagMean" -0.9543962646
"Laying" 1 "bodyAccJerkMagStd" -0.9282456284
"Laying" 1 "bodyGyroMagMean" -0.874759548
"Laying" 1 "bodyGyroMagStd" -0.81901016976
"Laying" 1 "bodyGyroJerkMagMean" -0.96346103
"Laying" 1 "bodyGyroJerkMagStd" -0.9358409828
"Laying" 1 "bodyBodyAccJerkMagMean" -0.9333003608
"Laying" 1 "bodyBodyAccJerkMagStd" -0.9218039756
"Laying" 1 "bodyBodyGyroMagMean" -0.8621901854
"Laying" 1 "bodyBodyGyroMagStd" -0.82431943968
"Laying" 1 "bodyBodyGyroJerkMagMean" -0.9423669466
"Laying" 1 "bodyBodyGyroJerkMagStd" -0.9326606676
"Laying" 2 "bodyAccXMean" 0.281373403958333
"Laying" 2 "bodyAccYMean" -0.0181587397583333
"Laying" 2 "bodyAccZMean" -0.107245610416667
"Laying" 2 "bodyAccXStd" -0.974059464791667
"Laying" 2 "bodyAccYStd" -0.98027739875
"Laying" 2 "bodyAccZStd" -0.984233296875
"Laying" 2 "gravityAccXMean" -0.509754238125
"Laying" 2 "gravityAccYMean" 0.752536639375
"Laying" 2 "gravityAccZMean" 0.646834879583333
"Laying" 2 "gravityAccXStd" -0.959014441458333
"Laying" 2 "gravityAccYStd" -0.988211865208333
"Laying" 2 "gravityAccZStd" -0.984230418125
"Laying" 2 "bodyAccJerkXMean" 0.0825972511666667
"Laying" 2 "bodyAccJerkYMean" 0.012254788451875
"Laying" 2 "bodyAccJerkZMean" -0.00180264895625
"Laying" 2 "bodyAccJerkXStd" -0.98587216875
"Laying" 2 "bodyAccJerkYStd" -0.98317254125
"Laying" 2 "bodyAccJerkZStd" -0.988442014375
"Laying" 2 "bodyGyroXMean" -0.01847660675
"Laying" 2 "bodyGyroYMean" -0.111800824583333
"Laying" 2 "bodyGyroZMean" 0.144882846104167
"Laying" 2 "bodyGyroXStd" -0.988275232916667
"Laying" 2 "bodyGyroYStd" -0.982291608958333
"Laying" 2 "bodyGyroZStd" -0.960306560416667
"Laying" 2 "bodyGyroJerkXMean" -0.101974134208333
"Laying" 2 "bodyGyroJerkYMean" -0.0358590176083333
"Laying" 2 "bodyGyroJerkZMean" -0.0701783020833333
"Laying" 2 "bodyGyroJerkXStd" -0.993235849166667
"Laying" 2 "bodyGyroJerkYStd" -0.989567537916667
"Laying" 2 "bodyGyroJerkZStd" -0.98803582125
"Laying" 2 "bodyAccMagMean" -0.977435485208333
"Laying" 2 "bodyAccMagStd" -0.972873912916667
"Laying" 2 "gravityAccMagMean" -0.977435485208333
"Laying" 2 "gravityAccMagStd" -0.972873912916667
"Laying" 2 "bodyAccJerkMagMean" -0.987741696041667
"Laying" 2 "bodyAccJerkMagStd" -0.98551807625
"Laying" 2 "bodyGyroMagMean" -0.950011569583333
"Laying" 2 "bodyGyroMagStd" -0.961164053958333
"Laying" 2 "bodyGyroJerkMagMean" -0.991767074166667
"Laying" 2 "bodyGyroJerkMagStd" -0.989718095208333
"Laying" 2 "bodyBodyAccJerkMagMean" -0.985374114791667
"Laying" 2 "bodyBodyAccJerkMagStd" -0.984568489166667
"Laying" 2 "bodyBodyGyroMagMean" -0.972112972708333
"Laying" 2 "bodyBodyGyroMagStd" -0.96109837875
"Laying" 2 "bodyBodyGyroJerkMagMean" -0.990248702291667
"Laying" 2 "bodyBodyGyroJerkMagStd" -0.989492660416667
"Laying" 3 "bodyAccXMean" 0.275516852741935
"Laying" 3 "bodyAccYMean" -0.0189556785048387
"Laying" 3 "bodyAccZMean" -0.101300477506452
"Laying" 3 "bodyAccXStd" -0.982776639193548
"Laying" 3 "bodyAccYStd" -0.962057544516129
"Laying" 3 "bodyAccZStd" -0.96369103483871
"Laying" 3 "gravityAccXMean" -0.241758478064516
"Laying" 3 "gravityAccYMean" 0.837032099677419
"Laying" 3 "gravityAccZMean" 0.48870318516129
"Laying" 3 "gravityAccXStd" -0.982512193064516
"Laying" 3 "gravityAccYStd" -0.981202749677419
"Laying" 3 "gravityAccZStd" -0.964807543870968
"Laying" 3 "bodyAccJerkXMean" 0.0769811125806452
"Laying" 3 "bodyAccJerkYMean" 0.0138041011306452
"Laying" 3 "bodyAccJerkZMean" -0.00435625874355645
"Laying" 3 "bodyAccJerkXStd" -0.98087931483871
"Laying" 3 "bodyAccJerkYStd" -0.968710724677419
"Laying" 3 "bodyAccJerkZStd" -0.982093162903226
"Laying" 3 "bodyGyroXMean" -0.0208170540330645
"Laying" 3 "bodyGyroYMean" -0.0718507159435484
"Laying" 3 "bodyGyroZMean" 0.137999561112903
"Laying" 3 "bodyGyroXStd" -0.974545752096774
"Laying" 3 "bodyGyroYStd" -0.977272653709677
"Laying" 3 "bodyGyroZStd" -0.963505609032258
"Laying" 3 "bodyGyroJerkXMean" -0.10004449883871
"Laying" 3 "bodyGyroJerkYMean" -0.0389771765322581
"Laying" 3 "bodyGyroJerkZMean" -0.06873387
"Laying" 3 "bodyGyroJerkXStd" -0.980328645
"Laying" 3 "bodyGyroJerkYStd" -0.986762741935484
"Laying" 3 "bodyGyroJerkZStd" -0.983338279516129
"Laying" 3 "bodyAccMagMean" -0.972791346129032
"Laying" 3 "bodyAccMagStd" -0.964218176451613
"Laying" 3 "gravityAccMagMean" -0.972791346129032
"Laying" 3 "gravityAccMagStd" -0.964218176451613
"Laying" 3 "bodyAccJerkMagMean" -0.979484593387097
"Laying" 3 "bodyAccJerkMagStd" -0.976121297903226
"Laying" 3 "bodyGyroMagMean" -0.951564751451613
"Laying" 3 "bodyGyroMagStd" -0.954275110967742
"Laying" 3 "bodyGyroJerkMagMean" -0.98671362516129
"Laying" 3 "bodyGyroJerkMagStd" -0.983139255645161
"Laying" 3 "bodyBodyAccJerkMagMean" -0.975949597903226
"Laying" 3 "bodyBodyAccJerkMagStd" -0.975305377903226
"Laying" 3 "bodyBodyGyroMagMean" -0.96458672483871
"Laying" 3 "bodyBodyGyroMagStd" -0.955441855806452
"Laying" 3 "bodyBodyGyroJerkMagMean" -0.984278251290323
"Laying" 3 "bodyBodyGyroJerkMagStd" -0.982568158064516
"Laying" 4 "bodyAccXMean" 0.263559214981481
"Laying" 4 "bodyAccYMean" -0.0150031841055556
"Laying" 4 "bodyAccZMean" -0.110688150314815
"Laying" 4 "bodyAccXStd" -0.954193738888889
"Laying" 4 "bodyAccYStd" -0.941714042407407
"Laying" 4 "bodyAccZStd" -0.962667314814815
"Laying" 4 "gravityAccXMean" -0.420664662222222
"Laying" 4 "gravityAccYMean" 0.915165104259259
"Laying" 4 "gravityAccZMean" 0.341531310555556
"Laying" 4 "gravityAccXStd" -0.921199965925926
"Laying" 4 "gravityAccYStd" -0.969816635740741
"Laying" 4 "gravityAccZStd" -0.976176608888889
"Laying" 4 "bodyAccJerkXMean" 0.0934494217777778
"Laying" 4 "bodyAccJerkYMean" 0.00693313213968519
"Laying" 4 "bodyAccJerkZMean" -0.00641054328740741
"Laying" 4 "bodyAccJerkXStd" -0.978302781111111
"Laying" 4 "bodyAccJerkYStd" -0.942209488333333
"Laying" 4 "bodyAccJerkZStd" -0.978511984259259
"Laying" 4 "bodyGyroXMean" -0.00923156347222222
